x,y
43,805
44,799
48,793
51,787
53,783
57,775
60,766
67,755
69,750
76,740
79,734
92,720
96,715
107,701
119,685
127,679
147,669
158,653
170,634
184,613
200,595
214,583
224,579
233,571
229,568
225,562
214,558
204,555
200,554
196,547
192,542
185,534
182,532
178,527
172,520
167,515
162,506
160,505
153,502
148,499
145,495
141,485
134,474
130,463
131,453
134,440
138,433
139,431
134,426
127,424
121,416
126,408
126,405
121,404
118,402
118,392
122,379
129,369
132,366
133,357
122,352
113,352
106,349
103,348
101,342
102,331
108,322
116,313
121,305
124,300
130,294
132,289
138,278
138,273
135,264
132,260
124,250
119,244
114,235
115,230
120,227
134,218
134,216
132,206
137,197
137,191
135,190
132,190
121,190
121,190
108,190
106,189
96,180
84,165
76,151
76,135
96,110
112,95
135,84
173,72
204,62
239,52
278,49
316,38
333,36
294,36
267,42
235,56
214,56
179,73
162,88
144,102
118,121
106,141
92,165
101,173
101,171
110,144
141,118
168,99
203,74
239,59
284,52
319,36
343,29
357,29
377,33
388,34
408,38
425,41
436,49
448,61
464,64
470,67
487,82
492,86
506,91
532,107
539,114
545,123
548,129
558,160
558,161
553,136
544,130
537,119
512,99
500,89
484,78
467,73
452,64
418,54
404,48
396,47
375,42
357,37
343,37
314,39
293,44
267,54
235,59
214,62
189,69
172,77
151,90
126,114
109,131
96,147
108,129
129,114
157,100
179,87
206,74
239,56
273,45
301,40
328,37
383,41
436,55
449,64
464,66
486,68
508,89
519,99
527,104
544,126
554,144
554,146
557,159
556,169
554,177
553,186
553,195
553,206
552,215
550,233
548,248
553,253
564,281
560,268
564,277
572,295
579,306
582,320
580,332
580,342
578,354
578,366
577,375
578,383
579,389
588,400
593,400
593,405
591,412
584,416
571,417
565,420
565,427
566,435
563,435
550,429
543,426
541,427
540,436
540,439
542,448
546,455
548,463
552,466
554,471
559,483
567,497
574,501
578,508
583,515
592,527
597,536
604,548
606,554
613,562
621,579
625,588
634,601
645,622
647,628
647,642
646,648
632,665
632,667
612,681
605,683
588,686
578,689
570,694
557,697
547,701
537,707
517,703
517,703
495,706
486,706
473,707
452,709
442,709
424,710
413,712
396,717
375,717
371,717
344,719
338,726
328,732
319,723
296,724
279,728
268,731
248,734
233,738
224,740
204,743
194,746
171,755
153,764
137,767
120,768
104,770
89,780
61,793
51,803
59,799
76,787
84,781
